,sc_id,spot,exp_cor_before,interface_cor_before,mix_cor_before,exp_cor_after,interface_cor_after,mix_cor_after,celltype
1056,cell_551,spot_108,0.9826008234567736,0.6124516141965247,0.9455859025307487,0.9877723599586762,0.850812508441617,0.9194056687704047,ExcitatoryL2and3
1057,cell_313,spot_108,0.9826008234567736,0.6124516141965247,0.9455859025307487,0.9877723599586762,0.850812508441617,0.9194056687704047,Astro
1058,cell_1265,spot_108,0.9826008234567736,0.6124516141965247,0.9455859025307487,0.9877723599586762,0.850812508441617,0.9194056687704047,Astro
1059,cell_451,spot_109,0.9746379563534376,0.7019698751217037,0.9473711482302642,0.9908245031218303,0.8424210691177955,0.921206377945282,Vip
1060,cell_851,spot_109,0.9746379563534376,0.7019698751217037,0.9473711482302642,0.9908245031218303,0.8424210691177955,0.921206377945282,Vip
1061,cell_242,spot_109,0.9746379563534376,0.7019698751217037,0.9473711482302642,0.9908245031218303,0.8424210691177955,0.921206377945282,ExcitatoryL2and3
1062,cell_320,spot_109,0.9746379563534376,0.7019698751217037,0.9473711482302642,0.9908245031218303,0.8424210691177955,0.921206377945282,ExcitatoryL2and3
1063,cell_563,spot_109,0.9746379563534376,0.7019698751217037,0.9473711482302642,0.9908245031218303,0.8424210691177955,0.921206377945282,ExcitatoryL2and3
1064,cell_916,spot_109,0.9746379563534376,0.7019698751217037,0.9473711482302642,0.9908245031218303,0.8424210691177955,0.921206377945282,ExcitatoryL2and3
1065,cell_867,spot_109,0.9746379563534376,0.7019698751217037,0.9473711482302642,0.9908245031218303,0.8424210691177955,0.921206377945282,ExcitatoryL2and3
1066,cell_819,spot_109,0.9746379563534376,0.7019698751217037,0.9473711482302642,0.9908245031218303,0.8424210691177955,0.921206377945282,ExcitatoryL2and3
1067,cell_812,spot_109,0.9746379563534376,0.7019698751217037,0.9473711482302642,0.9908245031218303,0.8424210691177955,0.921206377945282,ExcitatoryL2and3
1068,cell_933,spot_109,0.9746379563534376,0.7019698751217037,0.9473711482302642,0.9908245031218303,0.8424210691177955,0.921206377945282,ExcitatoryL2and3
1069,cell_899,spot_109,0.9746379563534376,0.7019698751217037,0.9473711482302642,0.9908245031218303,0.8424210691177955,0.921206377945282,ExcitatoryL2and3
1070,cell_145,spot_109,0.9746379563534376,0.7019698751217037,0.9473711482302642,0.9908245031218303,0.8424210691177955,0.921206377945282,ExcitatoryL2and3
1071,cell_1313,spot_109,0.9746379563534376,0.7019698751217037,0.9473711482302642,0.9908245031218303,0.8424210691177955,0.921206377945282,ExcitatoryL2and3
1072,cell_931,spot_110,0.9640422928446248,0.8083528990093617,0.9484733534610985,0.9902615986958918,0.9013893011857949,0.9262940579712814,Vip
1073,cell_1510,spot_110,0.9640422928446248,0.8083528990093617,0.9484733534610985,0.9902615986958918,0.9013893011857949,0.9262940579712814,Other
1074,cell_397,spot_110,0.9640422928446248,0.8083528990093617,0.9484733534610985,0.9902615986958918,0.9013893011857949,0.9262940579712814,Other
1075,cell_1136,spot_110,0.9640422928446248,0.8083528990093617,0.9484733534610985,0.9902615986958918,0.9013893011857949,0.9262940579712814,ExcitatoryL2and3
1076,cell_296,spot_110,0.9640422928446248,0.8083528990093617,0.9484733534610985,0.9902615986958918,0.9013893011857949,0.9262940579712814,ExcitatoryL2and3
1077,cell_873,spot_110,0.9640422928446248,0.8083528990093617,0.9484733534610985,0.9902615986958918,0.9013893011857949,0.9262940579712814,ExcitatoryL2and3
1078,cell_1191,spot_110,0.9640422928446248,0.8083528990093617,0.9484733534610985,0.9902615986958918,0.9013893011857949,0.9262940579712814,ExcitatoryL2and3
1079,cell_902,spot_110,0.9640422928446248,0.8083528990093617,0.9484733534610985,0.9902615986958918,0.9013893011857949,0.9262940579712814,ExcitatoryL2and3
1080,cell_854,spot_110,0.9640422928446248,0.8083528990093617,0.9484733534610985,0.9902615986958918,0.9013893011857949,0.9262940579712814,ExcitatoryL2and3
1081,cell_235,spot_110,0.9640422928446248,0.8083528990093617,0.9484733534610985,0.9902615986958918,0.9013893011857949,0.9262940579712814,ExcitatoryL2and3
1082,cell_918,spot_110,0.9640422928446248,0.8083528990093617,0.9484733534610985,0.9902615986958918,0.9013893011857949,0.9262940579712814,ExcitatoryL2and3
1083,cell_928,spot_110,0.9640422928446248,0.8083528990093617,0.9484733534610985,0.9902615986958918,0.9013893011857949,0.9262940579712814,ExcitatoryL2and3
1084,cell_828,spot_110,0.9640422928446248,0.8083528990093617,0.9484733534610985,0.9902615986958918,0.9013893011857949,0.9262940579712814,ExcitatoryL2and3
1085,cell_170,spot_111,0.9667761908581018,0.8711371113002152,0.9572122829023132,0.9818405348004833,0.8963419313166329,0.9732906744520983,Other
1086,cell_1412,spot_111,0.9667761908581018,0.8711371113002152,0.9572122829023132,0.9818405348004833,0.8963419313166329,0.9732906744520983,Other
1087,cell_655,spot_111,0.9667761908581018,0.8711371113002152,0.9572122829023132,0.9818405348004833,0.8963419313166329,0.9732906744520983,ExcitatoryL2and3
1088,cell_359,spot_111,0.9667761908581018,0.8711371113002152,0.9572122829023132,0.9818405348004833,0.8963419313166329,0.9732906744520983,ExcitatoryL2and3
1089,cell_849,spot_111,0.9667761908581018,0.8711371113002152,0.9572122829023132,0.9818405348004833,0.8963419313166329,0.9732906744520983,ExcitatoryL2and3
1090,cell_963,spot_111,0.9667761908581018,0.8711371113002152,0.9572122829023132,0.9818405348004833,0.8963419313166329,0.9732906744520983,ExcitatoryL2and3
1091,cell_1284,spot_111,0.9667761908581018,0.8711371113002152,0.9572122829023132,0.9818405348004833,0.8963419313166329,0.9732906744520983,ExcitatoryL2and3
1092,cell_803,spot_111,0.9667761908581018,0.8711371113002152,0.9572122829023132,0.9818405348004833,0.8963419313166329,0.9732906744520983,ExcitatoryL2and3
1093,cell_930,spot_111,0.9667761908581018,0.8711371113002152,0.9572122829023132,0.9818405348004833,0.8963419313166329,0.9732906744520983,ExcitatoryL2and3
1094,cell_840,spot_111,0.9667761908581018,0.8711371113002152,0.9572122829023132,0.9818405348004833,0.8963419313166329,0.9732906744520983,ExcitatoryL2and3
1095,cell_897,spot_111,0.9667761908581018,0.8711371113002152,0.9572122829023132,0.9818405348004833,0.8963419313166329,0.9732906744520983,ExcitatoryL2and3
1096,cell_927,spot_112,0.9507124193787575,0.8132516720380165,0.9369663446446834,0.9643813845092751,0.8400847651060315,0.8985227778459226,Npy
1097,cell_199,spot_112,0.9507124193787575,0.8132516720380165,0.9369663446446834,0.9643813845092751,0.8400847651060315,0.8985227778459226,Endo
1098,cell_514,spot_112,0.9507124193787575,0.8132516720380165,0.9369663446446834,0.9643813845092751,0.8400847651060315,0.8985227778459226,Endo
1099,cell_364,spot_112,0.9507124193787575,0.8132516720380165,0.9369663446446834,0.9643813845092751,0.8400847651060315,0.8985227778459226,Endo
1100,cell_265,spot_112,0.9507124193787575,0.8132516720380165,0.9369663446446834,0.9643813845092751,0.8400847651060315,0.8985227778459226,Endo
1101,cell_1378,spot_112,0.9507124193787575,0.8132516720380165,0.9369663446446834,0.9643813845092751,0.8400847651060315,0.8985227778459226,Endo
1102,cell_434,spot_112,0.9507124193787575,0.8132516720380165,0.9369663446446834,0.9643813845092751,0.8400847651060315,0.8985227778459226,Endo
