,sc_id,spot,corr,celltype
257,cell_606,spot_26,0.96843044785239,ExcitatoryL5
258,cell_1014,spot_26,0.96843044785239,ExcitatoryL2and3
259,cell_1481,spot_26,0.96843044785239,Endo
260,cell_1462,spot_26,0.96843044785239,ExcitatoryL6
261,cell_1454,spot_26,0.96843044785239,ExcitatoryL6
262,cell_1461,spot_26,0.96843044785239,ExcitatoryL6
263,cell_824,spot_26,0.96843044785239,ExcitatoryL6
264,cell_1083,spot_26,0.96843044785239,ExcitatoryL6
265,cell_1348,spot_26,0.96843044785239,ExcitatoryL6
266,cell_1295,spot_26,0.96843044785239,ExcitatoryL6
267,cell_1449,spot_27,0.9687154906238179,ExcitatoryL5
268,cell_1140,spot_27,0.9687154906238179,ExcitatoryL5
269,cell_1445,spot_27,0.9687154906238179,ExcitatoryL5
270,cell_582,spot_27,0.9687154906238179,ExcitatoryL5
271,cell_38,spot_27,0.9687154906238179,Endo
272,cell_425,spot_27,0.9687154906238179,Endo
273,cell_1462,spot_27,0.9687154906238179,ExcitatoryL6
274,cell_1454,spot_27,0.9687154906238179,ExcitatoryL6
275,cell_1432,spot_28,0.945405714895102,Astro
276,cell_582,spot_28,0.945405714895102,ExcitatoryL5
277,cell_1485,spot_28,0.945405714895102,Sst
278,cell_347,spot_28,0.945405714895102,ExcitatoryL2and3
279,cell_1068,spot_28,0.945405714895102,Olig
280,cell_1433,spot_28,0.945405714895102,Olig
281,cell_1428,spot_28,0.945405714895102,Endo
282,cell_1061,spot_28,0.945405714895102,ExcitatoryL6
283,cell_1390,spot_29,0.9621748644261442,Astro
284,cell_1260,spot_29,0.9621748644261442,Astro
285,cell_778,spot_29,0.9621748644261442,ExcitatoryL5
286,cell_723,spot_29,0.9621748644261442,Endo
287,cell_158,spot_29,0.9621748644261442,Endo
288,cell_441,spot_29,0.9621748644261442,Endo
289,cell_384,spot_29,0.9621748644261442,Endo
290,cell_364,spot_29,0.9621748644261442,Endo
291,cell_405,spot_29,0.9621748644261442,Endo
292,cell_993,spot_29,0.9621748644261442,ExcitatoryL4
293,cell_1462,spot_29,0.9621748644261442,ExcitatoryL6
294,cell_311,spot_30,0.9568071528634622,Endo
295,cell_67,spot_30,0.9568071528634622,Endo
296,cell_338,spot_30,0.9568071528634622,Endo
297,cell_222,spot_30,0.9568071528634622,Endo
298,cell_1380,spot_30,0.9568071528634622,Endo
299,cell_55,spot_30,0.9568071528634622,Endo
300,cell_58,spot_30,0.9568071528634622,Endo
301,cell_376,spot_30,0.9568071528634622,ExcitatoryL4
302,cell_109,spot_30,0.9568071528634622,ExcitatoryL4
303,cell_543,spot_30,0.9568071528634622,ExcitatoryL4
304,cell_1262,spot_30,0.9568071528634622,ExcitatoryL4
305,cell_32,spot_31,0.9597198373985778,ExcitatoryL2and3
306,cell_603,spot_31,0.9597198373985778,Other
307,cell_425,spot_31,0.9597198373985778,Endo
308,cell_710,spot_31,0.9597198373985778,Endo
309,cell_1436,spot_31,0.9597198373985778,Endo
310,cell_11,spot_31,0.9597198373985778,Endo
311,cell_219,spot_31,0.9597198373985778,ExcitatoryL4
312,cell_1028,spot_31,0.9597198373985778,ExcitatoryL4
313,cell_1291,spot_31,0.9597198373985778,ExcitatoryL4
314,cell_508,spot_31,0.9597198373985778,ExcitatoryL4
315,cell_677,spot_31,0.9597198373985778,ExcitatoryL4
316,cell_1154,spot_31,0.9597198373985778,Pvalb
317,cell_1508,spot_32,0.9644519901260258,ExcitatoryL2and3
318,cell_1442,spot_32,0.9644519901260258,ExcitatoryL2and3
319,cell_690,spot_32,0.9644519901260258,ExcitatoryL2and3
320,cell_1428,spot_32,0.9644519901260258,Endo
321,cell_38,spot_32,0.9644519901260258,Endo
322,cell_1231,spot_32,0.9644519901260258,Endo
323,cell_1189,spot_32,0.9644519901260258,Endo
324,cell_283,spot_32,0.9644519901260258,Endo
325,cell_1094,spot_32,0.9644519901260258,ExcitatoryL4
326,cell_494,spot_32,0.9644519901260258,ExcitatoryL4
327,cell_1462,spot_32,0.9644519901260258,ExcitatoryL6
328,cell_1405,spot_33,0.9473401960359753,Astro
329,cell_936,spot_33,0.9473401960359753,Astro
330,cell_506,spot_33,0.9473401960359753,ExcitatoryL2and3
331,cell_689,spot_33,0.9473401960359753,ExcitatoryL2and3
332,cell_568,spot_33,0.9473401960359753,ExcitatoryL2and3
333,cell_755,spot_33,0.9473401960359753,Endo
334,cell_514,spot_33,0.9473401960359753,Endo
335,cell_441,spot_33,0.9473401960359753,Endo
336,cell_67,spot_33,0.9473401960359753,Endo
337,cell_1059,spot_33,0.9473401960359753,Endo
338,cell_384,spot_33,0.9473401960359753,Endo
339,cell_829,spot_34,0.9620239438806053,Astro
340,cell_1122,spot_34,0.9620239438806053,ExcitatoryL2and3
341,cell_578,spot_34,0.9620239438806053,ExcitatoryL2and3
342,cell_1389,spot_34,0.9620239438806053,ExcitatoryL2and3
343,cell_987,spot_34,0.9620239438806053,ExcitatoryL2and3
344,cell_1480,spot_34,0.9620239438806053,ExcitatoryL2and3
345,cell_1005,spot_34,0.9620239438806053,ExcitatoryL2and3
346,cell_1014,spot_34,0.9620239438806053,ExcitatoryL2and3
347,cell_157,spot_34,0.9620239438806053,Endo
348,cell_1481,spot_34,0.9620239438806053,Endo
349,cell_1040,spot_34,0.9620239438806053,Endo
350,cell_723,spot_34,0.9620239438806053,Endo
351,cell_533,spot_35,0.9583147714444067,ExcitatoryL2and3
352,cell_20,spot_35,0.9583147714444067,ExcitatoryL2and3
353,cell_1407,spot_35,0.9583147714444067,ExcitatoryL2and3
354,cell_924,spot_35,0.9583147714444067,ExcitatoryL2and3
355,cell_32,spot_35,0.9583147714444067,ExcitatoryL2and3
356,cell_667,spot_35,0.9583147714444067,Olig
357,cell_405,spot_35,0.9583147714444067,Endo
358,cell_158,spot_35,0.9583147714444067,Endo
359,cell_364,spot_35,0.9583147714444067,Endo
360,cell_338,spot_35,0.9583147714444067,Endo
361,cell_1444,spot_35,0.9583147714444067,Pvalb
362,cell_674,spot_35,0.9583147714444067,Pvalb
363,cell_389,spot_36,0.9548929497824185,ExcitatoryL2and3
364,cell_347,spot_36,0.9548929497824185,ExcitatoryL2and3
365,cell_1470,spot_36,0.9548929497824185,ExcitatoryL2and3
366,cell_1510,spot_36,0.9548929497824185,Other
367,cell_641,spot_36,0.9548929497824185,Other
368,cell_603,spot_36,0.9548929497824185,Other
369,cell_216,spot_36,0.9548929497824185,Endo
370,cell_1419,spot_36,0.9548929497824185,Endo
371,cell_1380,spot_36,0.9548929497824185,Endo
372,cell_311,spot_36,0.9548929497824185,Endo
373,cell_629,spot_37,0.9231603279255945,Astro
374,cell_307,spot_37,0.9231603279255945,Astro
375,cell_55,spot_37,0.9231603279255945,Endo
376,cell_216,spot_37,0.9231603279255945,Endo
377,cell_38,spot_37,0.9231603279255945,Endo
378,cell_708,spot_37,0.9231603279255945,Endo
379,cell_1423,spot_37,0.9231603279255945,Endo
380,cell_409,spot_38,0.989820911785265,Other
381,cell_641,spot_38,0.989820911785265,Other
382,cell_401,spot_38,0.989820911785265,HPC
383,cell_869,spot_38,0.989820911785265,HPC
384,cell_470,spot_38,0.989820911785265,HPC
385,cell_531,spot_38,0.989820911785265,HPC
386,cell_631,spot_38,0.989820911785265,HPC
387,cell_79,spot_38,0.989820911785265,HPC
388,cell_46,spot_39,0.9822101340477833,ExcitatoryL5
389,cell_582,spot_39,0.9822101340477833,ExcitatoryL5
390,cell_1049,spot_39,0.9822101340477833,Olig
